block_id,level,start_time,end_time,duration_sec,behavior_events_all,events_selected_only,hover_only_pairs,is_correct_true,is_correct_false,is_correct_missing,selected_per_min,hover_only_per_min,accuracy,error_rate,net_score,cognitive_load,pattern_count_in_block,segments_between_patterns,segments_with_any_ic,segments_half_true,CMLI,mean_response_time,mean_hover_before_select
1,13,2025-09-03 13:30:33,2025-09-03 13:30:44,11.0,68,0,23,4,64,0,0.0,125.45454545454547,5.88235294117647,94.11764705882352,-60.0,125.45454545454547,2,0,0,0,-0.0,0.0,23.0
2,13,2025-09-03 13:36:26,2025-09-03 13:38:25,119.0,157,7,56,32,118,7,3.5294117647058822,28.235294117647058,21.333333333333336,78.66666666666666,-86.0,28.235294117647058,2,1,0,0,-0.0,180.1566857142857,8.0
3,1,2025-10-15 13:46:35,2025-10-15 13:46:35,0.0,3,0,0,0,3,0,0.0,0.0,0.0,100.0,-3.0,0.0,1,0,0,0,-0.0,0.0,0.0
4,16,2025-10-21 12:11:50,2025-10-21 12:12:27,37.0,65,10,11,22,33,10,16.216216216216214,17.83783783783784,40.0,60.0,-11.0,17.83783783783784,3,2,2,0,0.0,122.45756999999999,1.1
5,16,2025-10-21 12:21:43,2025-10-21 12:22:13,30.0,135,17,31,32,86,17,34.0,62.0,27.11864406779661,72.88135593220339,-54.0,62.0,3,2,1,0,-0.0,179.55029411764704,1.8235294117647058
6,3,2025-10-21 12:22:40,2025-10-21 12:24:27,107.0,72,8,21,28,36,8,4.485981308411215,11.775700934579438,43.75,56.25,-8.0,11.775700934579438,3,2,2,1,3.5511363636363638,255.9240625,2.625
7,3,2025-10-21 12:28:20,2025-10-21 12:28:20,0.0,10,0,0,6,4,0,0.0,0.0,60.0,40.0,2.0,0.0,1,0,0,0,0.0,0.0,0.0
8,3,2025-10-21 13:14:53,2025-10-21 13:15:32,39.0,86,12,23,34,40,12,18.46153846153846,35.38461538461539,45.94594594594595,54.054054054054056,-6.0,35.38461538461539,3,2,2,0,0.0,196.813725,1.9166666666666667
9,3,2025-10-21 13:26:53,2025-10-21 13:28:06,73.0,446,4,164,98,344,4,3.2876712328767126,134.7945205479452,22.171945701357465,77.82805429864254,-246.0,134.7945205479452,2,1,1,0,-0.0,20538.69845,41.0
10,3,2025-10-21 13:36:18,2025-10-21 13:36:57,39.0,20,2,5,4,14,2,3.0769230769230766,7.692307692307692,22.22222222222222,77.77777777777779,-10.0,7.692307692307692,1,0,0,0,-0.0,2131.26935,2.5
